Id,category
0,Young Adult
0,Fiction
0,Science Fiction
0,Dystopia
0,Fantasy
0,Science Fiction
1,Fantasy
1,Young Adult
1,Fiction
2,Classics
2,Fiction
2,Historical
2,Historical Fiction
2,Academic
2,School
3,Classics
3,Fiction
3,Romance
4,Young Adult
4,Fantasy
4,Romance
4,Paranormal
4,Vampires
4,Fiction
4,Fantasy
4,Paranormal
5,Historical
5,Historical Fiction
5,Fiction
5,Young Adult
6,Fantasy
6,Classics
6,Fiction
6,Young Adult
6,Childrens
7,Classics
7,Fiction
7,Science Fiction
7,Dystopia
7,Fantasy
7,Literature
7,Academic
7,School
7,Politics
7,Science Fiction
7,Novels
7,Academic
7,Read For School
8,Classics
8,Historical
8,Historical Fiction
8,Fiction
8,Romance
8,Historical
9,Fantasy
9,Fiction
9,Classics
10,Young Adult
10,Fiction
10,Romance
10,Contemporary
11,Science Fiction
11,Fiction
11,Humor
11,Fantasy
11,Classics
12,Childrens
12,Childrens
12,Picture Books
12,Classics
12,Fiction
13,Classics
13,Fiction
13,Romance
13,Literature
14,Fiction
14,Mystery
14,Thriller
15,Fiction
15,Historical
15,Historical Fiction
15,Romance
15,Historical
16,Classics
16,Fantasy
16,Fiction
16,Childrens
17,Fiction
17,Classics
17,Horror
17,Fantasy
17,Literature
17,Gothic
17,Novels
17,Literature
17,19th Century
17,Classics
17,Classic Literature
17,European Literature
17,British Literature
18,Classics
18,Fiction
18,Historical
18,Historical Fiction
18,Literature
19,Young Adult
19,Science Fiction
19,Dystopia
19,Fiction
19,Fantasy
20,Classics
20,Fiction
20,Romance
20,Historical
20,Historical Fiction
20,Literature
20,Gothic
20,Historical
20,Literature
20,19th Century
20,Classics
20,Classic Literature
20,Academic
20,School
21,Classics
21,Plays
21,Fiction
21,Romance
21,Academic
21,School
21,Drama
21,Academic
21,Read For School
21,Literature
21,Young Adult
21,High School
21,Poetry
22,Classics
22,Fiction
22,Young Adult
22,Academic
22,School
22,Literature
23,Fiction
23,Classics
23,Fantasy
23,Philosophy
23,Novels
23,Spirituality
23,Literature
23,Inspirational
23,Adventure
23,Self Help
24,Classics
24,Fiction
24,Cultural
24,Russia
24,Literature
24,Literature
24,Russian Literature
25,Science Fiction
25,Fiction
25,Young Adult
25,Fantasy
26,Young Adult
26,Fiction
26,Contemporary
27,Fantasy
27,Young Adult
27,Fantasy
27,Paranormal
27,Romance
28,Fiction
28,Historical
28,Historical Fiction
28,Historical
28,Adult
29,Classics
29,Fiction
29,Academic
29,School
29,Literature
29,Historical
29,Historical Fiction
29,Romance
29,Novels
29,Academic
29,Read For School
29,Young Adult
29,High School
29,Literature
29,American
30,Fiction
30,Romance
30,Fantasy
30,Science Fiction
30,Time Travel
30,Science Fiction
31,Classics
31,Childrens
31,Fiction
32,Classics
32,Fiction
32,Young Adult
32,Childrens
32,Historical
32,Historical Fiction
32,Historical
32,Cultural
32,Canada
32,Childrens
32,Middle Grade
32,Audiobook
32,Young Adult
32,Coming Of Age
33,Classics
33,Fiction
33,Academic
33,School
33,Literature
33,Historical
33,Historical Fiction
34,Classics
34,Horror
34,Fiction
34,Fantasy
34,Paranormal
34,Vampires
35,Classics
35,Fiction
35,Science Fiction
35,Science Fiction
35,Dystopia
35,Literature
35,Novels
35,Academic
35,School
35,Fantasy
35,Science Fiction Fantasy
35,Philosophy
36,Fiction
36,Classics
36,Magical Realism
36,Literature
37,Classics
37,Fiction
37,Fantasy
37,Childrens
38,Fantasy
38,Fiction
38,Classics
38,Romance
38,Humor
38,Young Adult
39,Classics
39,Fiction
39,Childrens
39,Young Adult
39,Historical
39,Historical Fiction
39,Childrens
39,Middle Grade
39,Literature
39,Fantasy
39,Historical
39,Novels
40,Classics
40,Fiction
40,Young Adult
40,Literature
41,Fiction
41,Historical
41,Historical Fiction
42,Fantasy
42,Young Adult
42,Fiction
42,Classics
42,Science Fiction
42,Childrens
43,Classics
43,Fiction
43,Science Fiction
43,Science Fiction
43,Dystopia
44,Fantasy
44,Fiction
44,Fantasy
44,Epic Fantasy
45,Fantasy
45,Young Adult
45,Fantasy
45,Mythology
45,Fiction
46,Classics
46,Fiction
46,Historical
46,Historical Fiction
46,Literature
46,Young Adult
47,Fiction
47,Mystery
47,Young Adult
47,Contemporary
48,Childrens
48,Childrens
48,Picture Books
48,Fiction
48,Classics
49,Childrens
49,Childrens
49,Picture Books
49,Classics
49,Fiction
50,Fantasy
50,Young Adult
50,Fiction
51,Fiction
51,Fantasy
51,Classics
51,Adventure
52,Classics
52,Fiction
52,Historical
52,Historical Fiction
52,Literature
53,Classics
53,Young Adult
53,Fiction
53,Academic
53,School
54,Fiction
54,Historical
54,Historical Fiction
54,Romance
54,Historical
55,Classics
55,Fiction
55,Poetry
55,Fantasy
55,Mythology
55,Fantasy
55,Academic
55,School
55,Literature
55,Adventure
55,Academic
55,Read For School
55,Historical
55,Historical Fiction
56,Classics
56,Fiction
56,Literature
57,Classics
57,Fiction
57,Science Fiction
57,War
58,Classics
58,Fiction
58,War
58,Historical
58,Historical Fiction
58,Humor
59,Classics
59,Fiction
59,Horror
59,Science Fiction
59,Gothic
59,Fantasy
59,Literature
59,Academic
59,School
59,Novels
59,Literature
59,19th Century
60,Fiction
60,Historical
60,Historical Fiction
60,Contemporary
61,Historical
61,Historical Fiction
61,Fiction
61,Historical
62,Horror
62,Fiction
62,Fantasy
62,Science Fiction
62,Apocalyptic
62,Post Apocalyptic
63,Young Adult
63,Fiction
63,Classics
63,Science Fiction
63,Dystopia
63,Science Fiction
64,Classics
64,Fiction
64,Fantasy
64,Young Adult
64,Animals
65,Fiction
65,Classics
65,Science Fiction
65,Dystopia
65,Science Fiction
65,Feminism
66,Classics
66,Mystery
66,Fiction
66,Short Stories
66,Mystery
66,Crime
66,Mystery
66,Detective
66,Literature
66,Adventure
66,Literature
66,19th Century
66,Historical
66,Historical Fiction
67,Fiction
67,Contemporary
67,Womens Fiction
67,Chick Lit
68,Classics
68,Fiction
68,Literature
68,Psychology
69,Classics
69,Fiction
69,Feminism
69,Psychology
69,Mental Health
69,Mental Illness
69,Literature
69,Health
69,Mental Health
69,Novels
69,Poetry
69,Literature
69,American
70,Historical
70,Historical Fiction
70,Romance
70,Fantasy
70,Fiction
70,Science Fiction
70,Time Travel
70,Historical
70,Romance
70,Historical Romance
71,Fiction
71,Mystery
71,Thriller
71,Mystery
71,Crime
72,Classics
72,Fiction
72,Mystery
72,Romance
72,Gothic
73,Classics
73,Fiction
73,Historical
73,Historical Fiction
73,Young Adult
74,Childrens
74,Fiction
74,Fantasy
74,Classics
75,Classics
75,Fiction
75,Historical
75,Historical Fiction
75,Feminism
76,Fantasy
76,Classics
76,Fiction
76,Adventure
77,Classics
77,Fiction
77,Historical
77,Historical Fiction
77,Young Adult
78,Fiction
78,Science Fiction
78,Science Fiction
78,Dystopia
78,Apocalyptic
78,Post Apocalyptic
79,Nonfiction
79,Autobiography
79,Memoir
79,Biography
80,Classics
80,Fiction
80,Science Fiction
80,Science Fiction
80,Dystopia
81,Classics
81,Fiction
81,Cultural
81,Russia
81,Literature
81,Literature
81,Russian Literature
82,Science Fiction
82,Fiction
82,Fantasy
82,Classics
83,Young Adult
83,Paranormal
83,Vampires
83,Fantasy
83,Fantasy
83,Paranormal
83,Romance
84,Fiction
84,Historical
84,Historical Fiction
84,Cultural
84,Africa
84,Classics
85,Classics
85,Fiction
85,Philosophy
85,Religion
85,Literature
85,Spirituality
86,Fiction
86,Classics
86,Philosophy
86,Literature
86,Politics
87,Fantasy
87,Young Adult
87,Fiction
88,Classics
88,Fiction
88,Literature
88,European Literature
88,Spanish Literature
89,Fantasy
89,Young Adult
89,Fiction
90,Classics
90,Fiction
90,Science Fiction
90,Science Fiction
90,Dystopia
91,Romance
91,Fiction
91,Womens Fiction
91,Chick Lit
91,Contemporary
92,Classics
92,Fiction
92,Literature
92,Novels
92,Literature
92,American
92,Academic
92,School
92,Adventure
92,Classics
92,Classic Literature
92,Literature
92,20th Century
92,Literary Fiction
93,Classics
93,Fiction
93,Literature
93,Historical
93,Historical Fiction
94,Classics
94,Poetry
94,Horror
94,Fiction
94,Short Stories
95,Fiction
95,Classics
95,Literature
95,Contemporary
96,Classics
96,Childrens
96,Fiction
97,Classics
97,Fiction
97,Cultural
97,Russia
97,Romance
98,Classics
98,Fiction
98,Literature
98,Adventure
99,Horror
99,Fantasy
99,Fiction
99,Paranormal
99,Vampires
99,Fantasy
99,Paranormal
100,Classics
100,Fiction
100,Science Fiction
100,Science Fiction
100,Dystopia
101,Historical
101,Historical Fiction
101,Fiction
101,Christian
101,Literature
102,Fiction
102,Historical
102,Historical Fiction
102,Young Adult
102,Adult Fiction
103,Fantasy
103,Young Adult
103,Fiction
104,Fantasy
104,Young Adult
104,Fantasy
104,Paranormal
104,Science Fiction
104,Steampunk
104,Romance
105,Fiction
105,Historical
105,Historical Fiction
105,Contemporary
106,Classics
106,Fiction
106,Literature
106,Historical
106,Historical Fiction
107,Classics
107,Fiction
107,Adventure
107,Young Adult
107,Historical
107,Historical Fiction
107,Literature
107,Childrens
107,Academic
107,School
107,Novels
107,Literature
107,American
108,Classics
108,Fiction
108,Philosophy
108,Cultural
108,France
108,Literature
108,Novels
108,European Literature
108,French Literature
108,Academic
108,School
108,Literature
108,20th Century
108,Academic
108,Read For School
109,Mystery
109,Classics
109,Fiction
109,Mystery
109,Crime
109,Thriller
110,Fiction
110,Classics
110,Cultural
110,Russia
110,Fantasy
110,Literature
110,Russian Literature
110,Magical Realism
111,Childrens
111,Fantasy
111,Fiction
111,Classics
112,Fantasy
112,Young Adult
112,Fiction
113,Horror
113,Fiction
113,Thriller
114,Classics
114,Fiction
114,Travel
114,Literature
115,Fantasy
115,Young Adult
115,Fiction
115,Fantasy
115,Dragons
116,Childrens
116,Picture Books
116,Childrens
117,Nonfiction
117,Autobiography
117,Memoir
117,Biography
117,Inspirational
118,Fiction
118,Classics
118,Science Fiction
118,Young Adult
119,Fiction
119,Historical
119,Historical Fiction
119,Mystery
119,Fantasy
120,Fantasy
120,Fiction
120,Fantasy
120,Epic Fantasy
121,Young Adult
121,Fiction
121,Contemporary
121,Romance
122,Fiction
122,Mystery
122,Young Adult
122,Contemporary
123,Fiction
123,Classics
123,Philosophy
123,Literature
123,Novels
124,Classics
124,Fiction
124,Fantasy
124,Literature
124,Short Stories
124,Philosophy
125,Fiction
125,Historical
125,Historical Fiction
125,Mystery
125,Classics
125,Historical
125,Literature
126,Classics
126,Fiction
126,Historical
126,Historical Fiction
126,Academic
126,School
127,Fantasy
127,Young Adult
127,Fiction
128,Young Adult
128,Fantasy
128,Fantasy
128,Paranormal
128,Paranormal
128,Angels
128,Romance
129,Fiction
129,Inspirational
129,Contemporary
129,Fantasy
130,Fiction
130,Classics
130,Mystery
130,Crime
130,Thriller
130,Historical
130,Historical Fiction
131,Nonfiction
131,Classics
131,Crime
131,True Crime
131,Mystery
131,Crime
131,Mystery
132,Classics
132,Fiction
132,Cultural
132,Russia
132,Romance
133,Fiction
133,Historical
